url,host,page_entropy,num_script_tags,script_to_body_ratio,html_length,page_tokens,num_sentences,num_punctuations,distinct_tokens,capitalizations,avg_tokens_per_sentence,num_html_tags,num_hidden_tags,num_iframes,num_embeds,num_objects,hyperlinks,num_whitespaces,num_included_elemets,num_double_documents,num_suspicious_elements,num_eval_functions,avg_script_length,avg_script_entropy,num_suspicious_functions,num_subdomains,registration_date,expiration_date,last_updates_dates,age,intended_life_span,life_remaining,registrar,reg_country,host_country,open_ports,num_open_ports,is_live,isp,connection_speed,avg_update_days,total_updates,ttl,tld,scheme,url_length,path_length,host_length,host_is_ip,has_port_in_string,num_digits,parameters,fragments,is_encoded,string_entropy,alexa_dis_similarity,subdirectories,periods,has_client,has_login,has_admin,has_server,num_encoded_chars,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,dns_record,page_rank,label
http://caixa.gov.br/empresa/credito-financiamento/financiamentos/producard-empresa/,200.201.165.253,5.048844313,59,0.089609266,175618,5542,982,10792,2140,35137,6.608961303,990,0,3,0,0,211,32233,24,0,25,0,265.7457627,3.908571652,3,1,8/20/1997 0:00,None,11/29/2016 0:00,9344,0,0,0,,Brazil,"[80, 443]",2,TRUE,CAIXA ECONOMICA FEDERAL,0.734557,0,0,9344,br,http,83,64,12,FALSE,FALSE,0,0,0,FALSE,4.197927198,0,6,2,FALSE,FALSE,FALSE,FALSE,0,83,12,0,2,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,4,0,7,0,5,5,7,14,5,14,8.857142857,5,9.5,0,0,0,0,0,0,0,0,100,0,75,25,0,0,0,93.61702128,0,0,0,0,0,0,0,0,5,normal
http://anandtech.com/show/9199/lg-announces-the-g4-5-5-inch-qhd-with-snapdragon-808,18.66.97.83,4.655233818,20,0.200274195,80235,5602,740,7677,2442,2706,8.486486486,1016,0,1,0,0,297,21307,8,0,23,0,802.5,3.082224061,2,1,0,0,0,0,0,0,0,0,Germany,"[80, 443]",2,TRUE,"Amazon.com, Inc.",0.632046,0,0,0,com,http,83,63,13,FALSE,FALSE,10,0,0,FALSE,4.429568054,0,4,1,FALSE,FALSE,FALSE,FALSE,0,83,13,0,1,10,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.120481928,0,0,0,0,0,0,1,0,0,0,3,0,14,2,1,9,1,10,9,10,4.214285714,9,3.846153846,0,0,0,0,0,0,0,0,83.33333333,0,94.44444444,5.555555556,0,0,0,74.07407407,0,0,0,0,1,0,155,0,6,normal
http://ap.org/Content/Press-Release/2013/AP-announces-winners-of-the-2013-Gramlings,23.42.164.175,4.889102332,27,0.069433069,43956,3151,359,5440,1555,721,9.582172702,508,0,1,0,0,113,6344,19,0,54,0,112.0740741,1.58113474,2,13,8/18/1998 4:00,8/17/2024 4:00,4/11/2022 16:44,8981,9496,514,"MarkMonitor, Inc.",US,Hong Kong,"[80, 443]",2,TRUE,"Akamai Technologies, Inc.",0.007704,0,0,8981,org,http,83,70,6,FALSE,FALSE,8,0,0,FALSE,4.323776258,0,5,1,FALSE,FALSE,FALSE,FALSE,0,83,6,0,1,7,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.096385542,0,0,0,0,0,0,1,1,0,0,3,0,12,3,2,2,2,9,2,9,5.083333333,2,5.363636364,1,0,0,0,0,0,0,0,97.14285714,0,66.66666667,33.33333333,0,0,0,70,0,0,0,1,1,0,1952,0,6,normal
http://ap.org/Content/AP-In-The-News/2014/AP-names-Kole-news-editor-for-New-England,23.42.164.175,4.890378991,27,0.083728841,36451,2109,292,5134,1039,516,8.136986301,457,0,2,0,0,113,5308,20,0,54,0,112.0740741,1.58113474,2,13,8/18/1998 4:00,8/17/2024 4:00,4/11/2022 16:44,8981,9496,514,"MarkMonitor, Inc.",US,Hong Kong,"[80, 443]",2,TRUE,"Akamai Technologies, Inc.",0.009117,0,0,8981,org,http,83,70,6,FALSE,FALSE,4,0,0,FALSE,4.245142751,0,5,1,FALSE,FALSE,FALSE,FALSE,0,83,6,0,1,10,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.048192771,0,0,0,0,0,0,1,0,0,0,3,0,15,0,2,2,2,7,2,7,3.866666667,2,4,1,0,0,0,0,0,0,0,97.14285714,0,66.66666667,33.33333333,0,0,0,70,0,0,0,1,1,0,1952,0,6,normal
http://mylust.com/videos/226488/stunning-young-latina-tranny-shows-off-her-hot-ass/,172.67.152.14,4.683243014,32,0.126247104,84596,4530,641,7958,1757,1641,8.034321373,751,0,2,0,0,144,21547,17,0,3,0,332.78125,2.582338787,3,0,None,None,None,0,0,0,,,United States,"[8080, 2082, 2083, 2052, 2086, 2087, 80, 8880, 8443, 443]",10,TRUE,"Cloudflare, Inc.",0.366561,0,0,0,com,http,83,66,10,FALSE,FALSE,6,0,0,FALSE,4.444453095,0,5,1,FALSE,FALSE,FALSE,FALSE,0,83,10,0,1,8,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.072289157,0,0,0,0,0,0,1,0,1,0,1,0,12,6,3,6,3,8,6,8,5,6,4.909090909,0,0,0,0,0,0,0,0,77.77777778,0,100,0,0,0,0,0,0,0,0,0,0,0,608,0,4,normal
http://dantri.com.vn/event/may-bay-airasia-cho-162-nguoi-gap-nan-tren-bien-2650.htm,42.113.206.26,5.379526147,9,0.131819016,125293,4541,2972,21459,2114,4036,2.448855989,776,0,1,0,0,272,4537,4,2,34,0,1834.222222,3.257594857,3,1,None,None,None,0,0,0,,,Viet Nam,"[80, 443]",2,TRUE,FPT Telecom Company,0.107134,0,0,0,vn,http,83,63,13,FALSE,FALSE,7,0,0,FALSE,4.397772757,0,3,3,FALSE,FALSE,FALSE,FALSE,0,83,13,0,3,10,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.084337349,0,0,0,0,0,0,3,0,0,0,1,0,14,0,3,6,3,7,6,7,4,6,3.846153846,0,0,0,0,0,0,0,0,92.59259259,0,99.33774834,0.662251656,0,0,0,25,0,0,0,1,1,1,0,0,5,normal
http://ap.org/Content/AP-In-The-News/2014/Larson-named-APs-West-Africa-bureau-chief,23.42.164.175,4.883464875,27,0.084086401,36296,2117,288,5068,1024,529,8.263888889,452,0,1,0,0,113,5319,19,0,54,0,112.0740741,1.58113474,2,13,8/18/1998 4:00,8/17/2024 4:00,4/11/2022 16:44,8981,9496,514,"MarkMonitor, Inc.",US,Hong Kong,"[80, 443]",2,TRUE,"Akamai Technologies, Inc.",0.009363,0,0,8981,org,http,83,70,6,FALSE,FALSE,4,0,0,FALSE,4.354199859,0,5,1,FALSE,FALSE,FALSE,FALSE,0,83,6,0,1,9,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.048192771,0,0,0,0,0,0,1,0,0,0,3,0,14,0,2,2,2,7,2,7,4.214285714,2,4.384615385,1,0,0,0,0,0,0,0,97.14285714,0,66.66666667,33.33333333,0,0,0,70,0,0,0,1,1,0,1952,0,6,normal
http://ap.org/Content/AP-In-The-News/2013/AP-names-Moritsugu-bureau-chief-for-Japan,23.42.164.175,4.894582796,27,0.08352719,36539,2145,289,5093,1057,530,8.335640138,454,0,1,0,0,113,5343,19,0,54,0,112.0740741,1.58113474,2,13,8/18/1998 4:00,8/17/2024 4:00,4/11/2022 16:44,8981,9496,514,"MarkMonitor, Inc.",US,Hong Kong,"[80, 443]",2,TRUE,"Akamai Technologies, Inc.",0.034212,0,0,8981,org,http,83,70,6,FALSE,FALSE,4,0,0,FALSE,4.349807956,0,5,1,FALSE,FALSE,FALSE,FALSE,0,83,6,0,1,9,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.048192771,0,0,0,0,0,0,1,0,0,0,3,0,14,0,2,2,2,9,2,9,4.214285714,2,4.384615385,1,0,0,0,0,0,0,0,97.14285714,0,66.66666667,33.33333333,0,0,0,70,0,0,0,1,1,0,1952,0,6,normal
http://mashable.com/category/twitter/2015/04/28/twitter-periscope-one-million-users,104.18.12.9,5.35966965,20,0.104074435,66635,3625,1281,9380,1579,2550,3.819672131,470,3,1,0,0,103,4148,11,0,128,0,345.8,2.387092589,0,2,None,None,None,0,0,0,,,United States,"[2096, 2082, 2083, 2086, 2087, 80, 8880, 8080, 8443, 443]",10,TRUE,"Cloudflare, Inc.",0.148939,0,0,0,com,http,83,64,12,FALSE,FALSE,8,0,0,FALSE,4.433681793,0,7,1,FALSE,FALSE,FALSE,FALSE,0,83,12,0,1,4,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0.096385542,0,0,0,0,0,0,1,0,0,0,1,0,11,3,2,8,2,9,8,9,5.636363636,8,5.4,0,0,0,0,0,0,0,1,46.42857143,0,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0,0,1216,0,7,normal
http://ap.org/Content/AP-In-The-News/2013/Former-AP-Boston-sports-editor-OHara-dies,23.42.164.175,4.883921297,27,0.076971577,39651,2707,334,5245,1306,711,8.907185629,494,0,1,0,0,113,5867,19,0,54,0,112.0740741,1.58113474,2,13,8/18/1998 4:00,8/17/2024 4:00,4/11/2022 16:44,8981,9496,514,"MarkMonitor, Inc.",US,Hong Kong,"[80, 443]",2,TRUE,"Akamai Technologies, Inc.",0.0129,0,0,8981,org,http,83,70,6,FALSE,FALSE,4,0,0,FALSE,4.19423236,0,5,1,FALSE,FALSE,FALSE,FALSE,0,83,6,0,1,9,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.048192771,0,0,0,0,0,0,1,0,0,0,3,0,14,0,2,2,2,7,2,7,4.214285714,2,4.384615385,1,0,0,0,0,0,0,0,97.14285714,0,66.66666667,33.33333333,0,0,0,70,0,0,0,1,1,0,1952,0,6,normal
